day,Gao,Segou,Tombouctou,Douentza,Kayes,Sikasso,Koulikoro,Menaka,Kidal,Bamako
43,1,1,1,1,1,1,1,1,0,0
44,1,1,1,1,1,1,1,1,0,0
45,1,1,1,1,1,1,1,1,0,0
46,1,1,1,1,1,1,1,1,1,0
47,1,1,1,1,1,1,1,1,1,0
48,1,1,1,1,1,1,1,1,1,0
49,1,1,1,1,1,1,1,1,1,0
50,1,1,1,1,1,1,1,1,1,0
51,1,1,1,1,1,1,1,1,1,0
52,1,1,1,1,1,1,1,1,1,0
53,1,1,1,1,1,1,1,1,1,0
54,1,1,1,1,1,1,1,1,1,0
55,1,1,1,1,1,1,1,1,1,0
56,1,1,1,1,1,1,1,1,1,0
57,1,1,1,1,1,1,1,1,1,0
58,1,1,1,1,1,1,1,1,1,0
59,1,1,1,1,1,1,1,1,1,0
60,1,1,1,1,1,1,1,1,1,0
61,1,1,1,1,1,1,1,1,1,0
62,1,1,1,1,1,1,1,1,1,0
63,1,1,1,1,1,1,1,1,1,0
64,1,1,1,1,1,1,1,1,1,0
65,1,1,1,1,1,1,1,1,1,0
66,1,1,1,1,1,1,1,1,1,0
67,1,1,1,1,1,1,1,1,1,0
68,1,1,1,1,1,1,1,1,1,0
69,1,1,1,1,1,1,1,1,1,0
70,1,1,1,1,1,1,1,1,1,0
71,1,1,1,1,1,1,1,1,1,0
72,1,1,1,1,1,1,1,1,1,0
73,1,1,1,1,1,1,1,1,1,0
74,1,1,1,1,1,1,1,1,1,0
75,1,1,1,1,1,1,1,1,1,0
76,1,1,1,1,1,1,1,1,1,0
77,1,1,1,1,1,1,1,1,1,0
78,1,1,1,1,1,1,1,1,1,0
79,1,1,1,1,1,1,1,1,1,0
80,1,1,1,1,1,1,1,1,1,0
81,1,1,1,1,1,1,1,1,1,0
82,1,1,1,1,1,1,1,1,1,0
83,1,1,1,1,1,1,1,1,1,0
84,1,1,1,1,1,1,1,1,1,0
85,1,1,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1,1
91,1,1,1,1,1,1,1,1,1,1
92,1,1,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1,1,1
94,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1,1,1
96,1,1,1,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1,1,1,1
106,1,1,1,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1,1,1,1
108,1,1,1,1,1,1,1,1,1,1
109,1,1,1,1,1,1,1,1,1,1
110,1,1,1,1,1,1,1,1,1,1
111,1,1,1,1,1,1,1,1,1,1
112,1,1,1,1,1,1,1,1,1,1
113,1,1,1,1,1,1,1,1,1,1
114,1,1,1,1,1,1,1,1,1,1
115,1,1,1,1,1,1,1,1,1,1
116,1,1,1,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,1,1,1
120,1,1,1,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1,1,1,1
122,1,1,1,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1,1,1,1
126,1,1,1,1,1,1,1,1,1,1
127,1,1,1,1,1,1,1,1,1,1
128,1,1,1,1,1,1,1,1,1,1
129,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,1,1,1,1,1,1
131,1,1,1,1,1,1,1,1,1,1
132,1,1,1,1,1,1,1,1,1,1
133,1,1,1,1,1,1,1,1,1,1
134,1,1,1,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1,1,1
136,1,1,1,1,1,1,1,1,1,1
137,1,1,1,1,1,1,1,1,1,1
138,1,1,1,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1,1,1,1
140,1,1,1,1,1,1,1,1,1,1
141,1,1,1,1,1,1,1,1,1,1
142,1,1,1,1,1,1,1,1,1,1
143,1,1,1,1,1,1,1,1,1,1
144,1,1,1,1,1,1,1,1,1,1
145,1,1,1,1,1,1,1,1,1,1
146,1,1,1,1,1,1,1,1,1,1
147,1,1,1,1,1,1,1,1,1,1
148,1,1,1,1,1,1,1,1,1,1
149,1,1,1,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1,1,1,1
154,1,1,1,1,1,1,1,1,1,1
155,1,1,1,1,1,1,1,1,1,1
156,1,1,1,1,1,1,1,1,1,1
157,1,1,1,1,1,1,1,1,1,1
158,1,1,1,1,1,1,1,1,1,1
159,1,1,1,1,1,1,1,1,1,1
160,1,1,1,1,1,1,1,1,1,1
161,1,1,1,1,1,1,1,1,1,1
162,1,1,1,1,1,1,1,1,1,1
163,1,1,1,1,1,1,1,1,1,1
164,1,1,1,1,1,1,1,1,1,1
165,1,1,1,1,1,1,1,1,1,1
166,1,1,1,1,1,1,1,1,1,1
167,1,1,1,1,1,1,1,1,1,1
168,1,1,1,1,1,1,1,1,1,1
169,1,1,1,1,1,1,1,1,1,1
170,1,1,1,1,1,1,1,1,1,1
171,1,1,1,1,1,1,1,1,1,1
172,1,1,1,1,1,1,1,1,1,1
173,1,1,1,1,1,1,1,1,1,1
174,1,1,1,1,1,1,1,1,1,1
175,1,1,1,1,1,1,1,1,1,1
176,1,1,1,1,1,1,1,1,1,1
177,1,1,1,1,1,1,1,1,1,1
178,1,1,1,1,1,1,1,1,1,1
179,1,1,1,1,1,1,1,1,1,1
180,1,1,1,1,1,1,1,1,1,1
181,1,1,1,1,1,1,1,1,1,1
182,1,1,1,1,1,1,1,1,1,1
183,1,1,1,1,1,1,1,1,1,1
184,1,1,1,1,1,1,1,1,1,1
185,1,1,1,1,1,1,1,1,1,1
186,1,1,1,1,1,1,1,1,1,1
187,1,1,1,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1,1,1,1
189,1,1,1,1,1,1,1,1,1,1
190,1,1,1,1,1,1,1,1,1,1
191,1,1,1,1,1,1,1,1,1,1
192,1,1,1,1,1,1,1,1,1,1
193,1,1,1,1,1,1,1,1,1,1
194,1,1,1,1,1,1,1,1,1,1
195,1,1,1,1,1,1,1,1,1,1
196,1,1,1,1,1,1,1,1,1,1
197,1,1,1,1,1,1,1,1,1,1
198,1,1,1,1,1,1,1,1,1,1
199,1,1,1,1,1,1,1,1,1,1
200,1,1,1,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1,1,1,1
203,1,1,1,1,1,1,1,1,1,1
204,1,1,1,1,1,1,1,1,1,1
205,1,1,1,1,1,1,1,1,1,1
206,1,1,1,1,1,1,1,1,1,1
207,1,1,1,1,1,1,1,1,1,1
208,1,1,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1,1,1,1
210,1,1,1,1,1,1,1,1,1,1
211,1,1,1,1,1,1,1,1,1,1
212,1,1,1,1,1,1,1,1,1,1
213,1,1,1,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1,1,1,1
215,1,1,1,1,1,1,1,1,1,1
216,1,1,1,1,1,1,1,1,1,1
217,1,1,1,1,1,1,1,1,1,1
218,1,1,1,1,1,1,1,1,1,1
219,1,1,1,1,1,1,1,1,1,1
220,1,1,1,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1,1,1,1
222,1,1,1,1,1,1,1,1,1,1
223,1,1,1,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1,1,1,1
225,1,1,1,1,1,1,1,1,1,1
226,1,1,1,1,1,1,1,1,1,1
227,1,1,1,1,1,1,1,1,1,1
228,1,1,1,1,1,1,1,1,1,1
229,1,1,1,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1,1,1
231,1,1,1,1,1,1,1,1,1,1
232,1,1,1,1,1,1,1,1,1,1
233,1,1,1,1,1,1,1,1,1,1
234,1,1,1,1,1,1,1,1,1,1
235,1,1,1,1,1,1,1,1,1,1
236,1,1,1,1,1,1,1,1,1,1
237,1,1,1,1,1,1,1,1,1,1
238,1,1,1,1,1,1,1,1,1,1
239,1,1,1,1,1,1,1,1,1,1
240,1,1,1,1,1,1,1,1,1,1
241,1,1,1,1,1,1,1,1,1,1
242,1,1,1,1,1,1,1,1,1,1
243,1,1,1,1,1,1,1,1,1,1
244,1,1,1,1,1,1,1,1,1,1
245,1,1,1,1,1,1,1,1,1,1
246,1,1,1,1,1,1,1,1,1,1
247,1,1,1,1,1,1,1,1,1,1
248,1,1,1,1,1,1,1,1,1,1
249,1,1,1,1,1,1,1,1,1,1
250,1,1,1,1,1,1,1,1,1,1
251,1,1,1,1,1,1,1,1,1,1
252,1,1,1,1,1,1,1,1,1,1
253,1,1,1,1,1,1,1,1,1,1
254,1,1,1,1,1,1,1,1,1,1
255,1,1,1,1,1,1,1,1,1,1
256,1,1,1,1,1,1,1,1,1,1
257,1,1,1,1,1,1,1,1,1,1
258,1,1,1,1,1,1,1,1,1,1
259,1,1,1,1,1,1,1,1,1,1
260,1,1,1,1,1,1,1,1,1,1
261,1,1,1,1,1,1,1,1,1,1
262,1,1,1,1,1,1,1,1,1,1
263,1,1,1,1,1,1,1,1,1,1
264,1,1,1,1,1,1,1,1,1,1
265,1,1,1,1,1,1,1,1,1,1
266,1,1,1,1,1,1,1,1,1,1
267,1,1,1,1,1,1,1,1,1,1
268,1,1,1,1,1,1,1,1,1,1
269,1,1,1,1,1,1,1,1,1,1
270,1,1,1,1,1,1,1,1,1,1
271,1,1,1,1,1,1,1,1,1,1
272,0,0,0,0,0,0,0,0,0,0
273,1,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0
275,1,1,1,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0
280,1,0,0,0,0,0,0,0,0,0
281,1,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0
283,1,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0
286,1,0,0,0,0,0,0,0,0,0
287,1,1,1,1,1,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0
289,1,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0
301,1,1,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0
306,1,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0
309,1,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0
313,1,1,1,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0
316,1,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0
320,1,1,1,0,0,0,0,0,0,0
321,1,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0
324,1,1,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0
326,1,1,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0
328,1,1,1,1,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0
330,1,1,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0
332,1,1,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0
339,1,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0
341,1,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0
343,1,1,1,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0
345,1,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0
349,1,1,0,0,0,0,0,0,0,0
350,1,0,0,0,0,0,0,0,0,0
351,1,1,0,0,0,0,0,0,0,0
352,1,1,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0
356,1,1,0,0,0,0,0,0,0,0
357,1,1,1,0,0,0,0,0,0,0
358,1,1,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0,0
362,1,1,1,1,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0
366,1,1,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0
368,1,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0
371,1,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0
374,1,0,0,0,0,0,0,0,0,0
375,1,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0
379,1,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0
381,1,1,1,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0
384,1,1,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0
393,1,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0
396,1,1,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0,0
398,1,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0
401,1,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0
408,1,0,0,0,0,0,0,0,0,0
409,1,1,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0
416,1,0,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,0
419,1,0,0,0,0,0,0,0,0,0
420,1,1,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,0,0
423,1,1,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
425,1,1,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0,0,0,0
430,1,1,0,0,0,0,0,0,0,0
431,1,0,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0,0,0
436,1,1,1,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0
441,1,1,0,0,0,0,0,0,0,0
442,1,1,1,0,0,0,0,0,0,0
443,1,0,0,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0
447,1,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0,0,0,0
455,1,1,0,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,0
460,1,1,0,0,0,0,0,0,0,0
461,1,0,0,0,0,0,0,0,0,0
462,1,0,0,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0
464,1,0,0,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0
468,1,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0,0,0
476,1,1,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0
480,1,0,0,0,0,0,0,0,0,0
481,1,0,0,0,0,0,0,0,0,0
482,1,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0
486,1,1,1,1,1,1,0,0,0,0
487,1,0,0,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0,0,0
489,1,0,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0,0,0
491,1,0,0,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0
503,1,0,0,0,0,0,0,0,0,0
504,1,1,1,1,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0
507,1,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0
509,1,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0,0,0,0
515,1,1,1,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0,0,0,0
519,1,0,0,0,0,0,0,0,0,0
520,1,1,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0,0,0,0
529,1,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,0
536,1,1,1,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0,0,0,0
538,1,1,0,0,0,0,0,0,0,0
539,1,0,0,0,0,0,0,0,0,0
540,1,1,0,0,0,0,0,0,0,0
541,1,0,0,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0
544,1,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0
546,1,1,1,0,0,0,0,0,0,0
547,0,0,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0,0,0,0
552,1,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0,0
556,1,0,0,0,0,0,0,0,0,0
557,0,0,0,0,0,0,0,0,0,0
558,0,0,0,0,0,0,0,0,0,0
559,1,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0,0,0,0
563,1,0,0,0,0,0,0,0,0,0
564,1,1,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0,0,0,0
566,1,0,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0,0,0
568,1,0,0,0,0,0,0,0,0,0
569,1,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
571,0,0,0,0,0,0,0,0,0,0
572,1,1,1,1,0,0,0,0,0,0
573,1,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
575,1,1,1,1,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0,0,0
578,1,0,0,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0,0,0,0
580,1,0,0,0,0,0,0,0,0,0
581,1,0,0,0,0,0,0,0,0,0
582,1,1,1,1,0,0,0,0,0,0
583,1,1,1,0,0,0,0,0,0,0
584,1,1,0,0,0,0,0,0,0,0
585,1,0,0,0,0,0,0,0,0,0
586,1,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0,0,0,0
589,1,0,0,0,0,0,0,0,0,0
590,1,1,1,0,0,0,0,0,0,0
591,1,1,1,1,1,0,0,0,0,0
592,1,1,1,0,0,0,0,0,0,0
593,1,1,1,1,0,0,0,0,0,0
594,0,0,0,0,0,0,0,0,0,0
595,1,1,1,0,0,0,0,0,0,0
596,1,1,0,0,0,0,0,0,0,0
597,1,1,1,1,1,1,0,0,0,0
598,1,1,0,0,0,0,0,0,0,0
599,1,1,0,0,0,0,0,0,0,0
600,1,1,1,1,1,0,0,0,0,0
601,1,1,1,1,1,1,0,0,0,0
602,1,1,1,1,0,0,0,0,0,0
603,1,1,1,1,1,1,0,0,0,0
604,1,1,1,1,0,0,0,0,0,0
605,1,1,1,0,0,0,0,0,0,0
606,1,1,1,1,1,0,0,0,0,0
607,1,1,1,1,1,0,0,0,0,0
608,1,1,1,0,0,0,0,0,0,0
609,1,1,1,1,1,1,0,0,0,0
610,1,1,1,1,1,1,0,0,0,0
611,1,1,1,1,1,1,1,1,1,1
612,1,1,1,1,1,1,0,0,0,0
613,1,1,1,1,1,1,1,0,0,0
614,1,1,1,1,1,1,1,1,1,0
615,1,1,1,1,1,1,1,1,1,0
616,1,1,1,1,1,1,1,1,1,0
617,1,1,1,1,1,1,1,1,1,0
618,1,1,1,1,1,1,1,0,0,0
619,1,1,1,1,1,1,0,0,0,0
620,1,1,1,1,1,1,0,0,0,0
621,1,1,1,1,1,1,1,1,1,1
622,1,1,1,1,1,1,0,0,0,0
623,1,1,1,1,1,1,1,1,1,0
624,1,1,1,1,1,1,1,1,1,1
625,1,1,1,1,1,1,1,1,1,1
626,1,1,1,1,1,1,1,1,1,1
627,1,1,1,1,1,1,1,1,1,0
628,1,1,1,1,1,1,1,1,1,1
629,1,1,1,1,1,1,1,1,1,1
630,1,1,1,1,1,1,0,0,0,0
